Products and product groups,time,cpi
All-items,Jan-13,121.3
All-items,Feb-13,122.7
All-items,Mar-13,122.9
All-items,Apr-13,122.7
All-items,May-13,123
All-items,Jun-13,123
All-items,Jul-13,123.1
All-items,Aug-13,123.1
All-items,Sep-13,123.3
All-items,Oct-13,123
All-items,Nov-13,123
All-items,Dec-13,122.7
All-items,Jan-14,123.1
All-items,Feb-14,124.1
All-items,Mar-14,124.8
All-items,Apr-14,125.2
All-items,May-14,125.8
All-items,Jun-14,125.9
All-items,Jul-14,125.7
All-items,Aug-14,125.7
All-items,Sep-14,125.8
All-items,Oct-14,125.9
All-items,Nov-14,125.4
All-items,Dec-14,124.5
All-items,Jan-15,124.3
All-items,Feb-15,125.4
All-items,Mar-15,126.3
All-items,Apr-15,126.2
All-items,May-15,126.9
All-items,Jun-15,127.2
All-items,Jul-15,127.3
All-items,Aug-15,127.3
All-items,Sep-15,127.1
All-items,Oct-15,127.2
All-items,Nov-15,127.1
All-items,Dec-15,126.5
All-items,Jan-16,126.8
All-items,Feb-16,127.1
All-items,Mar-16,127.9
All-items,Apr-16,128.3
All-items,May-16,128.8
All-items,Jun-16,129.1
All-items,Jul-16,128.9
All-items,Aug-16,128.7
All-items,Sep-16,128.8
All-items,Oct-16,129.1
All-items,Nov-16,128.6
All-items,Dec-16,128.4
All-items,Jan-17,129.5
All-items,Feb-17,129.7
All-items,Mar-17,129.9
All-items,Apr-17,130.4
All-items,May-17,130.5
All-items,Jun-17,130.4
All-items,Jul-17,130.4
All-items,Aug-17,130.5
All-items,Sep-17,130.8
All-items,Oct-17,130.9
All-items,Nov-17,131.3
All-items,Dec-17,130.8
All-items,Jan-18,131.7
All-items,Feb-18,132.5
All-items,Mar-18,132.9
All-items,Apr-18,133.3
All-items,May-18,133.4
All-items,Jun-18,133.6
All-items,Jul-18,134.3
All-items,Aug-18,134.2
All-items,Sep-18,133.7
All-items,Oct-18,134.1
All-items,Nov-18,133.5
All-items,Dec-18,133.4
All-items,Jan-19,133.6
All-items,Feb-19,134.5
All-items,Mar-19,135.4
All-items,Apr-19,136
All-items,May-19,136.6
All-items,Jun-19,136.3
All-items,Jul-19,137
All-items,Aug-19,136.8
All-items,Sep-19,136.2
All-items,Oct-19,136.6
All-items,Nov-19,136.4
All-items,Dec-19,136.4
